# Generated: 2026-04-17
# Source: e-Gov 法令API (https://laws.e-gov.go.jp/api/)
# Entries: 2078 laws
321CONSTITUTION	日本国憲法
122AC0000000034	明治二十二年法律第三十四号（決闘罪ニ関スル件）
123AC0000000001	保管金規則
128AC0000000028	通貨及証券模造取締法
129AC0000000005	国債証券買入銷却法
129AC0000000089	民法
130AC0000000029	砂防法
131AC0000000011	民法施行法
131AC0000000014	外国法人の登記及び夫婦財産契約の登記に関する法律
132AC0000000015	供託法
132AC0000000046	船舶法
132AC1000000040	明治三十二年法律第四十号（失火ノ責任ニ関スル法律）
132AC0000000049	商法施行法
132AC0000000048	商法
132AC0000000050	明治三十二年法律第五十号（外国人ノ署名捺印及無資力証明ニ関スル法律）
132AC0000000093	行旅病人及行旅死亡人取扱法
132AC0000000095	水難救護法
132AC0000000101	明治三十二年法律第百一号（国債ヲ外国ニ於テ募集スル場合ニ関スル法律）
133AC1000000033	二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律
133AC0000000065	鉄道営業法
133AC1000000072	明治三十三年法律第七十二号（地上権ニ関スル法律）
135AC0000000011	明治三十五年法律第十一号（警察署内ノ留置場ニ拘禁又ハ留置セラルル者ノ費用ニ関スル法律）
135AC1000000050	明治三十五年法律第五十号（年齢計算ニ関スル法律）
137AC0000000017	明治三十七年法律第十七号（記名ノ国債ヲ目的トスル質権ノ設定ニ関スル法律）
138AC0000000053	鉄道抵当法
138AC0000000052	担保付社債信託法
138AC0000000055	鉱業抵当法
138AC0000000054	工場抵当法
138AC0000000063	外国裁判所ノ嘱託ニ因ル共助法
138AC1000000066	明治三十八年法律第六十六号（外国ニ於テ流通スル貨幣紙幣銀行券証券偽造変造及模造ニ関スル法律）
139AC0000000034	明治三十九年法律第三十四号（国債ニ関スル法律）
139AC0000000051	紙幣類似証券取締法
140AC0000000045	刑法
141AC0000000029	刑法施行法
141AC0000000050	水害予防組合法
141AC0000000053	公証人法
141AC0000000057	北海道国有未開地処分法
142AC0000000009	明治四十二年法律第九号（政府ニ対スル保証金其ノ他ノ担保ニ供シタル国債ノ買入銷却ニ関スル法律）
142AC0000000008	明治四十二年法律第八号（登録国債ノ担保充用ニ関スル法律）
142AC0000000022	明治四十二年法律第二十二号（立木ニ関スル法律）
142AC0000000028	明治四十二年法律第二十八号（軌道ノ抵当ニ関スル法律）
142AC0000000039	印紙犯罪処罰法
143AC0000000054	関税定率法
143AC1000000056	明治四十三年法律第五十六号（立木ノ先取特権ニ関スル法律）
145AC0000000021	臘虎膃肭獣猟獲取締法
202AC1000000016	運河法
203AC1000000037	大正三年法律第三十七号（公共団体ノ管理スル公共用土地物件ノ使用ニ関スル法律）
204AC0000000013	大正四年法律第十三号（日本学士院学術研究奨励金委任経理ニ関スル法律）
204AC0000000018	大正四年法律第十八号（法人ノ役員処罰ニ関スル法律）
205AC0000000020	海底電信線保護万国連合条約罰則
205AC0000000010	大正五年法律第十号（証券ヲ以テスル歳入納付ニ関スル法律）
210AC0000000057	公有水面埋立法
210AC0000000076	軌道法
210AC0000000102	大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）
211AC1000000020	二十歳未満ノ者ノ飲酒ノ禁止ニ関スル法律
211AC0000000070	健康保険法
212AC0000000048	恩給法
212AC0000000050	陪審法
214AC0000000009	漁業財団抵当法
214AC0000000042	外国人土地法
215AC0000000060	大正十五年法律第六十号（暴力行為等処罰ニ関スル法律）
215AC0000000062	民事訴訟法中改正法律施行法
302AC0000000055	日本銀行特別融通及損失補償法
305AC0000000009	昭和五年法律第九号（盗犯等ノ防止及処分ニ関スル法律）
306AC0000000009	昭和六年法律第九号（特別会計ニ於ケル営繕費ニ関スル法律）
306AC0000000008	昭和六年法律第八号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律）
306AC0000000015	抵当証券法
306AC0000000042	無尽業法
307AC0000000016	昭和七年法律第十六号（国債ノ価額計算ニ関スル法律）
307AC0000000020	手形法
308AC0000000011	船舶安全法
308AC0000000030	農業動産信用法
308AC0000000021	農村負債整理組合法
308AC1000000042	昭和八年法律第四十二号（身元保証ニ関スル法律）
308AC0000000057	小切手法
312AC0000000025	森林保険法
313AC0000000071	陸上交通事業調整法
